,numero,nit,razon_social,supervisor,region,departamento,ciudad,ciiu,macrosector,ingresos_operacionales_2018,ganancia_perdida_2018,total_activos_2018,total_pasivos_2018,total_patrimonio_2018,ingresos_operacionales_2017,ganancia_perdida_2017,total_activos_2017,total_pasivos_2017,total_patrimonio_2017,grupo_en_niif
222,220,830513238,CONEXRED SA,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,J6190 - Otras actividades de telecomunicaciones,SERVICIOS,655095644.0,589907.0,60828384.0,47433127.0,13395257.0,665850504.0,4718762.0,58163279.0,46693259.0,11470020.0,NIIF PYMES-GRUPO 2
223,221,800148163,SOSACOL S.A.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,K6494 - Otras actividades de distribucion de fondos,SERVICIOS,648508754.0,604131788.0,5005907099.0,1533554702.0,3472352397.0,547442044.0,545962860.0,4683076324.0,70679310.0,4612397014.0,NIIF PLENAS-GRUPO 1
224,222,811017000,INTERNACIONAL DE DISTRIBUCIONES DE VESTUARIO DE MODA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,LA-ESTRELLA-ANTIOQUIA,C1410 - Confeccion de prendas de vestir excepto prendas de piel,MANUFACTURA,647249766.0,30694662.0,191448004.0,147658036.0,43789968.0,555825165.0,31235948.0,214676351.0,89581045.0,125095306.0,NIIF PLENAS-GRUPO 1
225,223,890930545,MINCIVIL SA,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,F4290 - Construccion de otras obras de ingenieria civil,CONSTRUCCIoN,646584761.0,54564276.0,1154705452.0,533004011.0,621701441.0,602290877.0,63638791.0,1052131160.0,496911030.0,555220130.0,NIIF PYMES-GRUPO 2
226,224,830006051,DIAGEO COLOMBIA SA,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4632 - Comercio al por mayor de bebidas y tabaco,COMERCIO,646494815.0,48909871.0,212879841.0,145870960.0,67008881.0,603193795.0,505038.0,177768764.0,159163767.0,18604997.0,NIIF PLENAS-GRUPO 1
227,225,890900043,COMPAÑIA COLOMBIANA DE TABACO S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,C1200 - Elaboracion de productos de tabaco,MANUFACTURA,639379653.0,-3124481.0,674209407.0,540916112.0,133293295.0,569819454.0,10611505.0,576450004.0,441000573.0,135449431.0,NIIF PYMES-GRUPO 2
228,226,860014659,DOW QUIMICA DE COLOMBIA S.A.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,C2013 - Fabricacion de plasticos en formas primarias,MANUFACTURA,631981942.0,-5471767.0,379550261.0,289279103.0,90271158.0,597036209.0,54944640.0,344306488.0,246260569.0,98045919.0,NIIF PLENAS-GRUPO 1
229,227,890801748,Mabe Colombia S.A.S,SUPERSOCIEDADES,Eje Cafetero,CALDAS,MANIZALES-CALDAS,C2750 - Fabricacion de aparatos de uso domestico,MANUFACTURA,628579497.0,-19363439.0,316165248.0,222512308.0,93652940.0,738629295.0,-14579872.0,379160442.0,263406413.0,115754029.0,NIIF PLENAS-GRUPO 1
230,228,811025289,NOVAVENTA S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,G4799 - Otros tipos de comercio al por menos no realizado en establecimientos puestos de venta o mercados,COMERCIO,623618595.0,39201157.0,265188880.0,118576719.0,146612161.0,518909312.0,28176674.0,227444239.0,83048285.0,144395954.0,NIIF PLENAS-GRUPO 1
231,229,815000863,AVIDESA DE OCCIDENTE S.A.,SUPERSOCIEDADES,Costa Pacifica,VALLE,BUGA-VALLE,A0145 - Cria de aves de corral,AGROPECUARIO,620742172.0,11655865.0,270647779.0,133550039.0,137097740.0,564331750.0,4221227.0,256278730.0,130817752.0,125460978.0,NIIF PYMES-GRUPO 2
232,230,830002366,BIMBO DE COLOMBIA S A,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,TENJO-CUNDINAMARCA,C1081 - Elaboracion de productos de panaderia,MANUFACTURA,619379392.0,2724623.0,639073688.0,289277533.0,349796155.0,577740883.0,14825315.0,625888629.0,277673896.0,348214733.0,NIIF PLENAS-GRUPO 1
233,231,860009808,Holcim (Colombia) S A,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,C2394 - Fabricacion de cemento cal y yeso,MANUFACTURA,618526829.0,28751827.0,728930530.0,425273453.0,303657077.0,559976526.0,-29754704.0,689114360.0,574278875.0,114835485.0,NIIF PLENAS-GRUPO 1
234,232,800103052,ORACLE COLOMBIA LIMITADA,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,SANTA-FE-BOGOTA D.C.,J6202 - Actividades de consultoria informatica y actividades de administracion de instalaciones informaticas,SERVICIOS,615234865.0,7637688.0,453370326.0,386928489.0,66441837.0,601528955.0,8270104.0,421249802.0,379746559.0,41503243.0,NIIF PLENAS-GRUPO 1
235,233,860509514,AUTOGERMANA S.A.S,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4511 - Comercio de vehiculos automotores nuevos,COMERCIO,614908163.0,15202683.0,459318390.0,374695596.0,84622794.0,488669178.0,9370983.0,420860104.0,334988360.0,85871744.0,NIIF PLENAS-GRUPO 1
236,234,900192242,ESTUDIOS Y PROYECTOS DEL SOL S.A.S.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,F4210 - Construccion de carreteras y vias de ferrocarril,CONSTRUCCIoN,612082785.0,410344655.0,1670626093.0,353533050.0,1317093043.0,242611443.0,-77303643.0,1005014392.0,180841863.0,824172529.0,NIIF PLENAS-GRUPO 1
237,235,805003626,STF GROUP SA,SUPERSOCIEDADES,Costa Pacifica,VALLE,YUMBO-VALLE,C1410 - Confeccion de prendas de vestir excepto prendas de piel,MANUFACTURA,610248963.0,1142528.0,440638070.0,329688998.0,110949072.0,618815383.0,2444991.0,439367154.0,304270058.0,135097096.0,NIIF PLENAS-GRUPO 1
238,236,860039561,PFIZER SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4645 - Comercio al por mayor de productos farmaceuticos medicinales cosmeticos y de tocador,COMERCIO,607476437.0,31620582.0,614191566.0,443280273.0,170911293.0,568958650.0,-23516227.0,567896747.0,429324772.0,138571975.0,NIIF PLENAS-GRUPO 1
239,238,900138670,C.I BIOCOSTA S.A,SUPERSOCIEDADES,Costa Atlantica,MAGDALENA,SANTA-MARTA-MAGDALENA,G4610 - Comercio al por mayor a cambio de una retribucion o por contrata,COMERCIO,601890194.0,3504944.0,120701114.0,103142381.0,17558733.0,499455245.0,1083777.0,102083197.0,89498648.0,12584549.0,NIIF PLENAS-GRUPO 1
240,239,800148159,INDICOMERSOCIOS S.A.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,K6494 - Otras actividades de distribucion de fondos,SERVICIOS,595410528.0,566045264.0,4616111431.0,1507893558.0,3108217873.0,502439588.0,500855840.0,4318521753.0,171120505.0,4147401248.0,NIIF PLENAS-GRUPO 1
241,240,900134430,NOKIA SOLUTIONS AND NETWORKS COLOMBIA LTDA,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,J6190 - Otras actividades de telecomunicaciones,SERVICIOS,594469205.0,4290179.0,627511126.0,536091005.0,91420121.0,338791533.0,-193192.0,265478692.0,178348750.0,87129942.0,NIIF PLENAS-GRUPO 1
242,241,890300292,Laboratorios Baxter S.A.,SUPERSOCIEDADES,Costa Pacifica,VALLE,CALI-VALLE,C2100 - Fabricacion de productos farmaceuticos sustancias quimicas medicinales y productos botanicos de uso farmaceutico,MANUFACTURA,588550393.0,76514716.0,779170522.0,190992087.0,588178435.0,551979597.0,51810062.0,805580391.0,211916671.0,593663720.0,NIIF PLENAS-GRUPO 1
243,242,811032292,CONSTRUCTORA CAPITAL MEDELLIN S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,F4111 - Construccion de edificios residenciales,CONSTRUCCIoN,582923789.0,89919767.0,575811712.0,439064682.0,136747030.0,280161547.0,19565012.0,637968439.0,583245318.0,54723121.0,NIIF PLENAS-GRUPO 1
244,243,800068713,Oleoducto de Colombia S.A.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,H4930 - Transporte por tuberias,SERVICIOS,581867042.0,265459920.0,593387185.0,210449986.0,382937199.0,561227625.0,233830920.0,516593095.0,144878684.0,371714411.0,NIIF PLENAS-GRUPO 1
245,244,891300241,MANUELITA S.A.,SUPERSOCIEDADES,Costa Pacifica,VALLE,PALMIRA-VALLE,C1071 - Elaboracion y refinacion de azucar,MANUFACTURA,581225407.0,25866882.0,1255092254.0,630168609.0,624923645.0,659396247.0,28313984.0,1180417821.0,543038661.0,637379160.0,NIIF PLENAS-GRUPO 1
246,245,832006599,CSS CONSTRUCTORES SA,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,CHIA-CUNDINAMARCA,F4210 - Construccion de carreteras y vias de ferrocarril,CONSTRUCCIoN,579415496.0,147785444.0,2032356464.0,674481689.0,1357874775.0,456010490.0,93648635.0,1696252012.0,649874314.0,1046377698.0,NIIF PLENAS-GRUPO 1
247,246,900323853,TELEPERFORMANCE COLOMBIA SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,N8220 - Actividades de centros de llamadas (Call center),SERVICIOS,579155821.0,46667666.0,423343605.0,113040597.0,310303008.0,539813538.0,30856330.0,376202108.0,112566766.0,263635342.0,NIIF PLENAS-GRUPO 1
248,247,900320612,SAP COLOMBIA SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,J6209 - Otras actividades de tecnologias de informacion y actividades de servicios informaticos,SERVICIOS,570764629.0,-83862085.0,636293825.0,720044315.0,-83750490.0,481504380.0,-41181693.0,478441116.0,480994596.0,-2553480.0,NIIF PLENAS-GRUPO 1
249,248,891401858,OPERADORA AViCOLA COLOMBIA S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,A0145 - Cria de aves de corral,AGROPECUARIO,568797767.0,11399334.0,386984795.0,172705834.0,214278961.0,534038947.0,-9122506.0,374560976.0,171247664.0,203313312.0,NIIF PLENAS-GRUPO 1
250,249,890302594,MAYAGUEZ S A,SUPERFINANCIERA,Costa Pacifica,VALLE,CALI-VALLE,C1071 - Elaboracion y refinacion de azucar,MANUFACTURA,567664646.0,14329766.0,1402450465.0,901930494.0,500519971.0,504968293.0,52700879.0,1349989195.0,859532061.0,490457134.0,NIIF PLENAS-GRUPO 1
251,250,830037946,PANAMERICANA LIBRERIA Y PAPELERIA SA,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4761 - Comercio al por menor de libros periodicos materiales y articulos de papeleria y escritorio en establecimientos especializados,COMERCIO,566457637.0,30056773.0,808396692.0,195463895.0,612932797.0,580166242.0,41567635.0,796507933.0,213631909.0,582876024.0,NIIF PYMES-GRUPO 2
252,251,800229035,TECNOGLASS S.A.S.,SUPERSOCIEDADES,Costa Atlantica,ATLANTICO,BARRANQUILLA-ATLANTICO,C2310 - Fabricacion de vidrio y productos de vidrio,MANUFACTURA,563891978.0,-9543311.0,748562352.0,606124418.0,142437934.0,483650560.0,-4497907.0,694592720.0,534308015.0,160284705.0,NIIF PLENAS-GRUPO 1
253,252,900104079,EL ZUQUE S.A.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,K6494 - Otras actividades de distribucion de fondos,SERVICIOS,562895507.0,572568196.0,4276018702.0,4973547.0,4271045155.0,478707655.0,480891592.0,3994769950.0,2310183.0,3992459767.0,NIIF PLENAS-GRUPO 1
254,253,800087795,DOW AGROSCIENCES DE COLOMBIA S.A,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,C2021 - Fabricacion de plaguicidas y otros productos quimicos de uso agropecuario,MANUFACTURA,561383195.0,30316080.0,698003014.0,554753941.0,143249073.0,568706202.0,41549361.0,555076119.0,446354463.0,108721656.0,NIIF PLENAS-GRUPO 1
255,254,900585053,TRAFIGURA ENERGY COLOMBIA SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4661 - Comercio al por mayor de combustibles solidos liquidos gaseosos y productos conexos,COMERCIO,559782440.0,-728604.0,422204062.0,418039621.0,4164441.0,396247038.0,1389860.0,202934704.0,198041659.0,4893045.0,NIIF PYMES-GRUPO 2
256,255,805011074,ADIDAS COLOMBIA LTDA.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4643 - Comercio al por mayor de calzado,COMERCIO,559030855.0,11835276.0,263109090.0,258196884.0,4912206.0,560747167.0,1990326.0,289126708.0,334549110.0,-45422402.0,NIIF PLENAS-GRUPO 1
257,256,860002576,GENERAL DE EQUIPOS DE COLOMBIA S.A.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,COMERCIO,554223325.0,7922591.0,594829138.0,375234113.0,219595025.0,504048479.0,-1905062.0,584770547.0,384139497.0,200631050.0,NIIF PLENAS-GRUPO 1
258,257,900210622,BRIGHTSTAR COMERCIALIZADORA SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4652 - Comercio al por mayor de equipo partes y piezas electronicos y de telecomunicaciones,COMERCIO,551610890.0,-7236714.0,164034113.0,168925798.0,-4891685.0,372605434.0,-72276.0,153876256.0,149086104.0,4790152.0,NIIF PLENAS-GRUPO 1
260,301,890914525,MINEROS S.A.,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,B0722 - Extraccion de oro y otros metales preciosos,MINERO-HIDROCARBUROS,476672629.0,130641250.0,1009206586.0,188949842.0,820256744.0,429135665.0,114773480.0,918048095.0,207363670.0,710684425.0,NIIF PLENAS-GRUPO 1
261,259,811009244,comercializadora internacional de metales preciosos y metales comunes inversiones generales s.a.s ciigsa,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,C2421 - Industrias basicas de metales preciosos,MANUFACTURA,550538975.0,-476495.0,94153782.0,91018250.0,3135532.0,227047808.0,-245529.0,12636843.0,9024816.0,3612027.0,NIIF PLENAS-GRUPO 1
262,260,800048943,BIOFILM S.A.,SUPERSOCIEDADES,Costa Atlantica,BOLIVAR,CARTAGENA-BOLIVAR,C2221 - Fabricacion de formas basicas de plastico,MANUFACTURA,549666868.0,3168319.0,912545056.0,536476998.0,376068058.0,486005514.0,-16198996.0,789049133.0,465685770.0,323363363.0,NIIF PLENAS-GRUPO 1
263,261,811011779,Renting Colombia S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,N7710 - Alquiler y arrendamiento de vehiculos automotores,SERVICIOS,548825707.0,86110942.0,1287015799.0,1021459710.0,265556089.0,495260548.0,108203506.0,1242782841.0,948403791.0,294379050.0,NIIF PLENAS-GRUPO 1
264,262,900479267,FUNDICION RAMIREZ ZONA FRANCA SAS,SUPERSOCIEDADES,Costa Pacifica,VALLE,PALMIRA-VALLE,C2432 - Fundicion de metales no ferrosos,MANUFACTURA,547987575.0,3712468.0,50183893.0,8018455.0,42165438.0,705696245.0,12609463.0,56063147.0,17610178.0,38452969.0,NIIF PLENAS-GRUPO 1
265,263,890208788,UNION DE DROGUISTAS SA. UNIDROGAS SA,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,FLORIDABLANCA-SANTANDER,G4645 - Comercio al por mayor de productos farmaceuticos medicinales cosmeticos y de tocador,COMERCIO,537132345.0,5319965.0,299519810.0,201935684.0,97584126.0,484315395.0,3830897.0,233784048.0,159380584.0,74403464.0,NIIF PYMES-GRUPO 2
266,264,890209174,ISMOCOL S.A.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,B0910 - Actividades de apoyo para la extraccion de petroleo y de gas natural,MINERO-HIDROCARBUROS,537008915.0,50680956.0,570134208.0,193781372.0,376352836.0,284363917.0,23269682.0,425282546.0,99610666.0,325671880.0,NIIF PYMES-GRUPO 2
268,266,890900076,CINE COLOMBIA S.A.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,J5914 - Actividades de exhibicion de peliculas cinematograficas y videos,SERVICIOS,535432672.0,80099751.0,700057971.0,288095641.0,411962330.0,506233873.0,67737906.0,676146640.0,281508482.0,394638158.0,NIIF PLENAS-GRUPO 1
269,267,811043174,ZEUSS PETROLEUM SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,GIRARDOTA-ANTIOQUIA,G4661 - Comercio al por mayor de combustibles solidos liquidos gaseosos y productos conexos,COMERCIO,528424939.0,4315877.0,88454637.0,53828164.0,34626473.0,492131313.0,6957350.0,112402190.0,72091504.0,40310686.0,NIIF PYMES-GRUPO 2
270,268,860005265,Gaseosas Colombianas S.A.S,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,C1104 - Elaboracion de bebidas no alcoholicas produccion de aguas minerales y de otras aguas embotelladas,MANUFACTURA,528160916.0,12250477.0,486546090.0,209105866.0,277440224.0,482586861.0,18950494.0,466915074.0,120451244.0,346463830.0,NIIF PLENAS-GRUPO 1
272,270,830012157,THOMAS GREG & SONS LIMITED (GUERNSEY) S.A.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,M7020 - Actividades de consultaria de gestion,SERVICIOS,527023314.0,218219991.0,433941596.0,175090488.0,258851108.0,111691228.0,52397806.0,330255339.0,195055749.0,135199590.0,NIIF PLENAS-GRUPO 1
273,271,800221789,BRINSA S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,C1089 - Elaboracion de otros productos alimenticios n.c.p.,MANUFACTURA,524527411.0,41185306.0,714256373.0,392918451.0,321337922.0,508273840.0,34575673.0,708407930.0,404637033.0,303770897.0,NIIF PLENAS-GRUPO 1
274,272,860005050,MEXICHEM COLOMBIA SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,C2229 - Fabricacion de articulos de plastico n.c.p.,MANUFACTURA,521652845.0,30339552.0,444985804.0,129459018.0,315526786.0,498367811.0,33397717.0,456267937.0,137402393.0,318865544.0,NIIF PLENAS-GRUPO 1
275,273,830131993,EFECTIVO LTDA,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,H5229 - Otras actividades complementarias al transporte,SERVICIOS,520051012.0,48352713.0,329335018.0,198502319.0,130832699.0,516680929.0,37428498.0,329212950.0,229047316.0,100165634.0,NIIF PYMES-GRUPO 2
277,275,899999107,EPS'S CONVIDA,SUPERSALUD,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,O8430- Actividades de planes de seguridad social de afiliacion obligatoria,SERVICIOS,515869347.53,-66508304.99,137069081.19,275456241.28,-138387160.09,475860956.39,-30938121.52,134321559.96,226200415.06,-91878855.1,REGIMEN R 414 de 2014 - CGN
278,276,800206842,BAKER HUGHES DE COLOMBIA,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,B0910 - Actividades de apoyo para la extraccion de petroleo y de gas natural,MINERO-HIDROCARBUROS,515845880.0,13524349.0,336672441.0,117767919.0,218904522.0,386933334.0,15012429.0,274169335.0,83845026.0,190324309.0,NIIF PLENAS-GRUPO 1
279,277,900612501,CHM MINERIA SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,COMERCIO,514211978.0,50280423.0,225936575.0,138118463.0,87818112.0,419375043.0,34719275.0,239899811.0,151426808.0,88473003.0,NIIF PLENAS-GRUPO 1
280,278,900327290,DERCO COLOMBIA SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,CHIA-CUNDINAMARCA,G4511 - Comercio de vehiculos automotores nuevos,COMERCIO,512962673.0,717137.0,287915190.0,194254903.0,93660287.0,440139943.0,-14767828.0,232833936.0,169719992.0,63113944.0,NIIF PLENAS-GRUPO 1
281,279,900166896,HINO MOTORS MANUFACTURING COLOMBIA SA,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,COTA-CUNDINAMARCA,C2910 - Fabricacion de vehiculos automotores y sus motores,MANUFACTURA,511706091.0,9384414.0,176994904.0,93425214.0,83569690.0,378442788.0,12140213.0,152506307.0,80301674.0,72204633.0,NIIF PLENAS-GRUPO 1
282,302,900388600,MAC JOHNSON CONTROLS COLOMBIA S.A.S,SUPERSOCIEDADES,Costa Pacifica,VALLE,YUMBO-VALLE,C2720 - Fabricacion de pilas baterias y acumuladores electricos,MANUFACTURA,472526242.0,27559083.0,423310023.0,94708211.0,328601812.0,427852085.0,28794953.0,487725824.0,186130182.0,301595642.0,NIIF PLENAS-GRUPO 1
283,280,811044814,SOCIEDAD DE COMERCIALIZACION INTERNACIONAL GIRDLE & LINGERIE S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,C1410 - Confeccion de prendas de vestir excepto prendas de piel,MANUFACTURA,509496471.0,31979508.0,258751710.0,221152766.0,37598944.0,23701263.0,10128135.0,266081775.0,223427881.0,42653894.0,NIIF PYMES-GRUPO 2
284,281,900462511,British American Tobacco Colombia SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4632 - Comercio al por mayor de bebidas y tabaco,COMERCIO,508327322.0,22943989.0,766373046.0,534840414.0,231532632.0,506472488.0,-100284200.0,789814320.0,581510830.0,208303490.0,NIIF PLENAS-GRUPO 1
285,282,890914526,ALMACENES FLAMINGO S.A,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,G4719 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por productos diferentes de alimentos (viveres en general) bebidas y tabaco,COMERCIO,508292101.0,6845883.0,603284791.0,411543218.0,191741573.0,503205901.0,7019449.0,619059577.0,429163887.0,189895690.0,NIIF PYMES-GRUPO 2
286,283,890906413,ELECTRICAS DE MEDELLIN INGENIERIA Y SERVICIOS S.A.S,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,F4220 - Construccion de proyectos de servicio publico,CONSTRUCCIoN,504381556.0,77132441.0,754165601.0,313710408.0,440455193.0,468288418.0,102749370.0,625966768.0,235067543.0,390899225.0,NIIF PLENAS-GRUPO 1
287,284,900149606,EXCAVACIONES Y PROYECTOS DE COLOMBIA SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,B0990 - Actividades de apoyo para otras actividades de explotacion de minas y canteras,MINERO-HIDROCARBUROS,504163602.0,34797677.0,204008216.0,127138452.0,76869764.0,309410123.0,5789024.0,187410093.0,145338007.0,42072086.0,NIIF PYMES-GRUPO 2
288,285,900072847,GNE Soluciones S.A.S.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4731 - Comercio al por menor de combustible para automotores,COMERCIO,499358445.0,2644378.0,80220053.0,32934620.0,47285433.0,469926737.0,1516413.0,82810739.0,38155369.0,44655370.0,NIIF PLENAS-GRUPO 1
289,286,890200463,GASEOSAS HIPINTO S.A.S,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,PIEDECUESTA-SANTANDER,C1104 - Elaboracion de bebidas no alcoholicas produccion de aguas minerales y de otras aguas embotelladas,MANUFACTURA,496396633.0,18123655.0,560716528.0,251409963.0,309306565.0,447252589.0,12709320.0,539175093.0,226238827.0,312936266.0,NIIF PLENAS-GRUPO 1
290,287,891102723,MECANICOS ASOCIADOS SAS,SUPERSOCIEDADES,Otros,HUILA,NEIVA-HUILA,B0910 - Actividades de apoyo para la extraccion de petroleo y de gas natural,MINERO-HIDROCARBUROS,495392843.0,-9927435.0,375408386.0,260661093.0,114747293.0,340790734.0,-17603129.0,320192203.0,214699405.0,105492798.0,NIIF PLENAS-GRUPO 1
291,288,860000261,COMPAÑIA NACIONAL DE LEVADURAS LEVAPAN S.A.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4631 - Comercio al por mayor de productos alimenticios,COMERCIO,492290728.0,2433902.0,374884775.0,218985119.0,155899656.0,488301223.0,13238884.0,381122513.0,218640865.0,162481648.0,NIIF PLENAS-GRUPO 1
292,289,860002590,BRENNTAG COLOMBIA SA,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4664 - Comercio al por mayor de productos quimicos basicos cauchos y plasticos en formas primarias y productos quimicos de uso agropecuario,COMERCIO,492134414.0,4584556.0,374361263.0,277657116.0,96704147.0,451950710.0,3357784.0,270972408.0,178852203.0,92120205.0,NIIF PLENAS-GRUPO 1
293,290,830009783,CRUZ BLANCA EPS S.A.,SUPERSALUD,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,O8430- Actividades de planes de seguridad social de afiliacion obligatoria,SERVICIOS,490750120.81,-28121168.64,147832100.61,441533919.62,-293701819.01,519974836.82,-283247061.39,117917053.74,383499403.11,-265582349.37,NIIF PYMES-GRUPO 2
294,291,891180008,CCF HUILA,SUPERSALUD,Otros,HUILA,NEIVA-HUILA,Q8699- Otras actividades de atencion de la salud humana,SERVICIOS,489816220.95,-33719921.13,64944809.51,240249295.77,-175304486.26,417631367.77,-23516861.31,44780257.29,190947491.78,-146167234.49,NIIF PLENAS-GRUPO 1
295,292,890300225,COeXITO S.A.S.,SUPERSOCIEDADES,Costa Pacifica,VALLE,CALI-VALLE,G4530 - Comercio de partes piezas (autopartes) y accesorios (lujos) para vehiculos automotores,COMERCIO,488306724.0,16044614.0,232355989.0,115172197.0,117183792.0,468062122.0,16467454.0,223893435.0,109653261.0,114240174.0,NIIF PLENAS-GRUPO 1
